crash_dim_id,crash_id,crash_type
326,20244072,Single
327,20245125,Single
328,20241195,Single
329,20244043,Multiple
330,20241102,Multiple
331,20243194,Single
332,20245148,Single
333,20246017,Multiple
334,20243070,Multiple
335,20243165,Multiple
336,20241063,Multiple
337,20241132,Multiple
338,20241292,Multiple
339,20245141,Single
340,20241189,Single
341,20241233,Multiple
342,20242115,Single
343,20242167,Multiple
344,20241016,Single
345,20243234,Multiple
346,20246025,Single
347,20241220,Multiple
348,20243002,Multiple
349,20241034,Multiple
350,20242012,Single
351,20243009,Multiple
352,20245018,Single
353,20241269,Single
354,20242093,Single
355,20242176,Multiple
356,20242255,Multiple
357,20241066,Single
358,20242175,Multiple
359,20243207,Single
360,20242029,Multiple
361,20241246,Multiple
362,20242046,Multiple
363,20241078,Single
364,20245065,Single
365,20243064,Single
366,20241013,Single
367,20246019,Single
368,20247019,Single
369,20247039,Single
370,20242257,Multiple
371,20241138,Multiple
372,20245013,Single
373,20247045,Single
374,20244014,Multiple
375,20244069,Single
376,20242053,Single
377,20243111,Multiple
378,20247028,Multiple
379,20243067,Single
380,20242186,Multiple
381,20242250,Single
382,20245078,Single
383,20243167,Single
384,20245150,Single
385,20243106,Single
386,20242098,Multiple
387,20241179,Multiple
388,20242070,Multiple
389,20243261,Multiple
390,20243227,Single
391,20242243,Multiple
392,20242102,Multiple
393,20245165,Single
394,20241109,Single
395,20243187,Single
396,20245028,Single
397,20241301,Multiple
398,20243135,Single
399,20245166,Single
400,20245110,Single
401,20241248,Multiple
402,20245030,Single
403,20243268,Single
404,20242071,Multiple
405,20241020,Single
406,20241294,Single
407,20241304,Multiple
408,20245112,Single
409,20242123,Single
410,20243197,Single
411,20242144,Multiple
412,20241199,Single
413,20243066,Single
414,20243233,Multiple
415,20243203,Single
416,20242209,Multiple
417,20242056,Multiple
418,20245152,Single
419,20242130,Multiple
420,20243109,Multiple
421,20243010,Single
422,20243181,Multiple
423,20246018,Multiple
424,20241071,Single
425,20241186,Multiple
426,20243078,Multiple
427,20241223,Multiple
428,20245136,Single
429,20241221,Multiple
430,20241143,Multiple
431,20243242,Single
432,20247031,Multiple
433,20242189,Single
434,20245102,Single
435,20242170,Multiple
436,20243043,Multiple
437,20241140,Multiple
438,20244063,Multiple
439,20245010,Single
440,20241131,Single
441,20245019,Single
442,20242172,Multiple
443,20241111,Multiple
444,20242055,Single
445,20241017,Multiple
446,20244067,Single
447,20246024,Single
448,20241254,Single
449,20243011,Multiple
450,20245147,Single
451,20246011,Multiple
452,20242177,Single
453,20241127,Single
454,20241210,Single
455,20242132,Single
456,20242184,Multiple
457,20241253,Single
458,20243024,Single
459,20245058,Single
460,20242224,Single
461,20243031,Single
462,20242069,Multiple
463,20245076,Single
464,20243156,Single
465,20242251,Single
466,20244034,Single
467,20242090,Single
468,20243231,Multiple
469,20242194,Single
470,20245085,Single
471,20243142,Single
472,20242043,Multiple
473,20243124,Multiple
474,20244007,Single
475,20242060,Single
476,20243104,Single
477,20244041,Single
478,20247043,Single
479,20246026,Single
480,20243021,Multiple
481,20245140,Single
482,20242155,Multiple
483,20242032,Single
484,20241285,Multiple
485,20245011,Single
486,20244066,Single
487,20242064,Multiple
488,20242164,Single
489,20244035,Single
490,20242252,Multiple
491,20243018,Single
492,20242086,Multiple
493,20243217,Multiple
494,20243251,Multiple
495,20243058,Single
496,20245053,Single
497,20247038,Single
498,20244046,Single
499,20245014,Single
500,20243085,Single
501,20244039,Single
502,20243240,Single
503,20247017,Multiple
504,20247049,Multiple
505,20246002,Multiple
506,20242099,Multiple
507,20247036,Single
508,20243063,Single
509,20241176,Multiple
510,20247022,Multiple
511,20241086,Single
512,20241224,Single
513,20241265,Multiple
514,20241202,Single
515,20245052,Single
516,20245064,Single
517,20246023,Multiple
518,20241293,Multiple
519,20241299,Multiple
520,20244078,Single
521,20243164,Multiple
522,20242201,Single
523,20245117,Single
524,20241307,Single
525,20242074,Multiple
526,20241243,Multiple
527,20247034,Single
528,20241260,Single
529,20243004,Single
530,20246014,Multiple
531,20242024,Multiple
532,20245105,Single
533,20243169,Single
534,20243081,Multiple
535,20242169,Single
536,20242119,Single
537,20241110,Single
538,20241082,Multiple
539,20242062,Single
540,20245132,Multiple
541,20241159,Single
542,20246022,Multiple
543,20241229,Single
544,20245062,Single
545,20242026,Single
546,20247009,Single
547,20242268,Single
548,20242238,Single
549,20242122,Multiple
550,20241046,Single
551,20243192,Multiple
552,20241032,Multiple
553,20241031,Multiple
554,20243254,Single
555,20243133,Single
556,20241203,Single
557,20247046,Single
558,20243118,Single
559,20243173,Multiple
560,20243199,Single
561,20244003,Single
562,20241298,Single
563,20242112,Multiple
564,20243092,Multiple
565,20243042,Multiple
566,20243221,Multiple
567,20244005,Multiple
568,20243178,Multiple
569,20245074,Single
570,20242196,Single
571,20244050,Multiple
572,20241208,Multiple
573,20242259,Single
574,20242212,Multiple
575,20244045,Single
576,20243019,Multiple
577,20241036,Multiple
578,20242226,Single
579,20247007,Single
580,20243074,Multiple
581,20241003,Single
582,20241277,Single
583,20241249,Single
584,20242020,Multiple
585,20242108,Multiple
586,20243120,Multiple
587,20242187,Multiple
588,20245075,Single
589,20243116,Multiple
590,20245151,Single
591,20242133,Single
592,20241092,Multiple
593,20245050,Single
594,20245091,Single
595,20242121,Single
596,20245054,Single
597,20243214,Multiple
598,20241118,Single
599,20245096,Single
600,20243157,Single
601,20241190,Multiple
602,20241097,Single
603,20242265,Multiple
604,20241250,Multiple
605,20242200,Multiple
606,20242178,Multiple
607,20242234,Single
608,20242048,Single
609,20245007,Multiple
610,20245126,Single
611,20242003,Single
612,20243252,Single
613,20243061,Single
614,20242162,Single
615,20244071,Multiple
616,20241047,Single
617,20241205,Single
618,20241024,Multiple
619,20242096,Single
620,20242240,Multiple
621,20243139,Single
622,20243075,Single
623,20244051,Multiple
624,20241070,Single
625,20244079,Single
626,20243051,Multiple
627,20242237,Single
628,20243148,Multiple
629,20242157,Single
630,20244022,Single
631,20241142,Single
632,20241124,Multiple
633,20241010,Multiple
634,20241252,Single
635,20245009,Single
636,20243155,Single
637,20243163,Single
638,20247042,Single
639,20247020,Single
640,20245142,Single
641,20243269,Single
642,20245121,Multiple
643,20245081,Single
644,20242166,Single
645,20243056,Multiple
646,20243049,Single
647,20243103,Single
648,20242233,Single
649,20243014,Single
650,20241198,Multiple
651,20242249,Single
652,20243154,Multiple
653,20241100,Single
654,20241074,Multiple
655,20243263,Multiple
656,20242016,Single
657,20244017,Single
658,20244009,Single
659,20242085,Multiple
660,20244012,Single
661,20243205,Multiple
662,20241035,Single
663,20241161,Single
664,20245023,Multiple
665,20241062,Multiple
666,20243119,Multiple
667,20245059,Single
668,20241155,Single
669,20243152,Single
670,20247030,Single
671,20247013,Single
672,20243053,Single
673,20241039,Multiple
674,20242154,Single
675,20243215,Multiple
676,20243026,Multiple
677,20241050,Multiple
678,20243271,Multiple
679,20243236,Multiple
680,20241133,Single
681,20248008,Multiple
682,20244037,Single
683,20242143,Multiple
684,20241273,Single
685,20242067,Multiple
686,20242214,Single
687,20245158,Single
688,20243238,Single
689,20242011,Single
690,20241180,Multiple
691,20241059,Multiple
692,20241021,Multiple
693,20242254,Single
694,20245138,Single
695,20245157,Single
696,20243256,Multiple
697,20241245,Single
698,20243126,Multiple
699,20244082,Multiple
700,20241108,Single
701,20245040,Single
702,20242137,Multiple
703,20241005,Single
704,20241051,Single
705,20243128,Single
706,20242109,Single
707,20241116,Single
708,20247023,Single
709,20242097,Single
710,20245149,Single
711,20243226,Multiple
712,20246008,Multiple
713,20242092,Multiple
714,20242125,Multiple
715,20245120,Single
716,20244077,Multiple
717,20242066,Single
718,20242049,Single
719,20243265,Single
720,20243122,Single
721,20245067,Single
722,20243151,Multiple
723,20241283,Multiple
724,20242262,Multiple
725,20247041,Multiple
